Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11217,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,10463,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10459,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,11422,Rosedale,13 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BATHTUB,11367,Flushing,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11692,Arverne,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10003,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11231,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,RADIATOR,10011,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,JANITOR-SUPER,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10028,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11385,Ridgewood,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11238,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11435,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11238,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10454,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11432,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,VERMIN,10468,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11364,Oakland Gardens,11 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,SEWER,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10459,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11369,East Elmhurst,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10474,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11215,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10023,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11412,Saint Albans,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11379,Middle Village,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10455,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10037,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11223,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10310,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11354,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,VERMIN,10003,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11358,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11364,Oakland Gardens,11 QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10458,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,BATHTUB,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10454,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11224,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10028,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,SEWER,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11101,Long Island City,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,10 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,10459,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11418,Richmond Hill,09 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BATHTUB,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11428,Queens Village,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11415,Kew Gardens,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11204,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11411,Cambria Heights,13 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11103,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10023,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11204,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,10301,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Health and Mental Hygiene,Rodent,Mouse Sighting,11220,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Animal Waste,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,11432,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Rodent,Rat Sighting,10456,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11377,Woodside,02 QUEENS,QUEENS
