Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPT OF ENVIRONMENT PROTECTION,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,00,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,00,Green Infrastructure
DEPARTMENT OF BUILDINGS,Administrative Support,PRINCIPAL ADMINISTRATIVE ASSOC,01,Citywide
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY WORKER,ELIGIBILITY SPECIALIST,03,Hasa Hiv/Aids Svcs Admin-NM
DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Executive Management
DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Executive Management
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,01,Research & Investigation Unit
DEPARTMENT OF BUILDINGS,Administrative Support,PRINCIPAL ADMINISTRATIVE ASSOC,02,Citywide
FIRE DEPARTMENT,On-Line Medical Control (OLMC) Physician,CITY MEDICAL SPECIALIST (PART-,02,Medical
FIRE DEPARTMENT,On-Line Medical Control (OLMC) Physician,CITY MEDICAL SPECIALIST (PART-,02,Medical
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide, Junior - Senior",COLLEGE AIDE (ALL CITY DEPTS),01,Lead Poisoning
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide, Junior - Senior",COLLEGE AIDE (ALL CITY DEPTS),01,Lead Poisoning
DEPARTMENT OF BUILDINGS,Executive Engineer for Investigative Engineering Services,ADMINISTRATIVE ENGINEER,M2,Forensic Engineering Unit
DEPARTMENT OF BUILDINGS,Executive Engineer for Investigative Engineering Services,ADMINISTRATIVE ENGINEER,M2,Forensic Engineering Unit
DEPARTMENT OF BUILDINGS,Executive Engineer for Safety Operations,ADMINISTRATIVE ENGINEER,M2,Constr Safety/Best Saf
DEPARTMENT OF BUILDINGS,Executive Engineer for Safety Operations,ADMINISTRATIVE ENGINEER,M2,Constr Safety/Best Saf
HRA/DEPT OF SOCIAL SERVICES,IMAGING SUPPORT CLERK,CLERICAL ASSOCIATE,03,Med Insur/Community Svc-NM
HRA/DEPT OF SOCIAL SERVICES,SUPERVISOR OF SOCIAL WORK,SUPERVISOR I SOCIAL WORK,00,Domestic Violence-NM
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (ELEVATORS),00,Construction Safety/Elevators
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (ELEVATORS),00,Construction Safety/Elevators
DEPT OF HEALTH/MENTAL HYGIENE,"Controller (Administrative Staff Analyst, MIV)",ADMINISTRATIVE STAFF ANALYST (,M4,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,"Controller (Administrative Staff Analyst, MIV)",ADMINISTRATIVE STAFF ANALYST (,M4,Fiscal Management
DEPARTMENT OF BUSINESS SERV.,Account Manager,CONTRACT REVIEWER (OFFICE OF L,01,Agency & Business Analysis
DEPT OF CITYWIDE ADMIN SVCS,Civil Engineer,CIVIL ENGINEER,03,Engineering Audit
DEPT OF CITYWIDE ADMIN SVCS,Civil Engineer,CIVIL ENGINEER,03,Engineering Audit
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,M3,Bus Development & Recruitment
DEPARTMENT OF TRANSPORTATION,Deputy Director of Capital Projects,ADMINISTRATIVE PROJECT MANAGER,M1,F&Ga Admin-St George
FIRE DEPARTMENT,Application Administrator,COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Application Administrator,COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
DEPT OF INFO TECH & TELECOMM,ECTP Solutions Manager,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPARTMENT OF TRANSPORTATION,Deputy Director of Capital Projects,ADMINISTRATIVE PROJECT MANAGER,M1,F&Ga Admin-St George
DEPARTMENT OF CORRECTION,Investigator (Discipline/Staff Conduct),INVESTIGATOR(DISCP)(ONLY FOR P,03,Investigation Division
DEPT OF ENVIRONMENT PROTECTION,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,00,Envrnmntl Planng/Ofc of Brnf
DEPT OF ENVIRONMENT PROTECTION,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,00,Envrnmntl Planng/Ofc of Brnf
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineer II,ENVIRONMENTAL ENGINEER,02,Water Supply/Mgmt Support
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineer II,ENVIRONMENTAL ENGINEER,02,Water Supply/Mgmt Support
DEPT OF INFO TECH & TELECOMM,ECTP Solutions Manager,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPT OF ENVIRONMENT PROTECTION,Inspector,ENGINEERING TECHNICIAN,01,W   S/Connections Permitting
DEPT OF ENVIRONMENT PROTECTION,Inspector,ENGINEERING TECHNICIAN,01,W   S/Connections Permitting
DEPARTMENT OF CORRECTION,Senior Technical Support Specialist,CERTIFIED IT ADMINISTRATOR LAN,01,Information Systems-Admin
DEPARTMENT OF CORRECTION,Senior Technical Support Specialist,CERTIFIED IT ADMINISTRATOR LAN,01,Information Systems-Admin
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Contracts Unit",ADMINISTRATIVE PROJECT MANAGER,M1,Sewer Analysis - T/L
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Contracts Unit",ADMINISTRATIVE PROJECT MANAGER,M1,Sewer Analysis - T/L
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Investigations Unit",ADMINISTRATIVE PROJECT MANAGER,M1,Sewer Analysis - T/L
ADMIN FOR CHILDREN'S SVCS,"Assistant CIR, Child and Family Health",CITY MEDICAL DIRECTOR,M4,Office Of Chld & Fmly Hlth-Fss
ADMIN FOR CHILDREN'S SVCS,"Assistant CIR, Child and Family Health",CITY MEDICAL DIRECTOR,M4,Office Of Chld & Fmly Hlth-Fss
DEPT OF HEALTH/MENTAL HYGIENE,.Net Web Application Development Manager,COMPUTER SYSTEMS MANAGER,M1,OCME-Admin
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Investigations Unit",ADMINISTRATIVE PROJECT MANAGER,M1,Sewer Analysis - T/L
DEPT OF ENVIRONMENT PROTECTION,Machinist,MACHINIST,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Emergency Manager,SUPERINTENDENT OF WATER AND SE,M1,Water Supply/Field Oper Mgt
DEPT OF ENVIRONMENT PROTECTION,Emergency Manager,SUPERINTENDENT OF WATER AND SE,M1,Water Supply/Field Oper Mgt
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,CIVIL ENGINEERING INTERN,00,Capital Planning Development
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,CIVIL ENGINEERING INTERN,00,Capital Planning Development
DEPT OF HEALTH/MENTAL HYGIENE,.Net Web Application Development Manager,COMPUTER SYSTEMS MANAGER,M1,OCME-Admin
DEPARTMENT OF BUILDINGS,Senior Architect,ADMINISTRATIVE ARCHITECT,M1,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Senior Architect,ADMINISTRATIVE ARCHITECT,M1,Ad Exc Tech Affairs & Code Dev
FIRE DEPARTMENT,Chaplain,CHAPLAIN,00,Chaplains
FIRE DEPARTMENT,Chaplain,CHAPLAIN,00,Chaplains
DEPT OF ENVIRONMENT PROTECTION,City Planning Technician,CITY PLANNING TECHNICIAN,00,W   S/Administration Operation
DEPT OF ENVIRONMENT PROTECTION,City Planning Technician,CITY PLANNING TECHNICIAN,00,W   S/Administration Operation
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Truck Main Maintenance
DEPT OF INFO TECH & TELECOMM,ECTP Quality Assurance Manager,ADMINISTRATIVE MANAGER,M3,ECTP
DEPT OF INFO TECH & TELECOMM,ECTP Quality Assurance Manager,ADMINISTRATIVE MANAGER,M3,ECTP
DEPT OF HEALTH/MENTAL HYGIENE,Director of Radiological Operations,HEALTH SERVICES MANAGER,M2,Emerg. Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Director of Radiological Operations,HEALTH SERVICES MANAGER,M2,Emerg. Preparedness & Response
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Instrumentation Specialist,INSTRUMENTATION SPECIALIST,02,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Meterics and Reporting",ADMINISTRATIVE ENGINEER,M1,Sewer Analysis - T/L
DEPT OF ENVIRONMENT PROTECTION,"Unit Chief, Meterics and Reporting",ADMINISTRATIVE ENGINEER,M1,Sewer Analysis - T/L
DEPARTMENT OF BUILDINGS,Sustainability Plan Examiner,ARCHITECT,01,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Sustainability Plan Examiner,ARCHITECT,01,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Sustainability Assistant Plan Examiner,ASSISTANT PLAN EXAMINER (BLDGS,00,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Sustainability Assistant Plan Examiner,ASSISTANT PLAN EXAMINER (BLDGS,00,Ad Exc Tech Affairs & Code Dev
BUSINESS INTEGRITY COMMISSION,Market Agent,MARKET AGENT,01,Default
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,SUPERVISOR III WELFARE,00,Off Of ChildÂ  Enforc-NM
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Electrician,ELECTRICIAN,00,Central Brookly City Operation
DEPARTMENT OF CORRECTION,Project Manager - Mechanical,MECHANICAL ENGINEER,02,Assets Management
DEPARTMENT OF CORRECTION,Project Manager - Mechanical,MECHANICAL ENGINEER,02,Assets Management
BUSINESS INTEGRITY COMMISSION,Market Agent,MARKET AGENT,01,Default
CIVILIAN COMPLAINT REVIEW BD,Investigator (Level 2),INVESTIGATOR (CCRB),02,Civilian Complaint Review Bd
FINANCIAL INFO SVCS AGENCY,SR. ORACLE DATABASE ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Services
FINANCIAL INFO SVCS AGENCY,SR. ORACLE DATABASE ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Services
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Wtr Sup/179 St Pump Sta Sys
DEPT OF ENVIRONMENT PROTECTION,Oiler,OILER,00,Wtr Sup/179 St Pump Sta Sys
FIRE DEPARTMENT,Drug Testing Technician,INVESTIGATOR (EMPLOYEE DISCIPL,02,Testing Unit
FIRE DEPARTMENT,Field Inspector,ASSOCIATE INSPECTOR (ELECTRICA,01,Fire Alarms
FIRE DEPARTMENT,Field Inspector,ASSOCIATE INSPECTOR (ELECTRICA,01,Fire Alarms
DEPT OF ENVIRONMENT PROTECTION,Deputy Plant Chief,SENIOR STATIONARY ENGINEER (EL,00,Wards Island
DEPT OF ENVIRONMENT PROTECTION,INSTRUMENTATION SPECIALIST III,INSTRUMENTATION SPECIALIST,03,Croton Filtration Plant
DEPARTMENT OF BUSINESS SERV.,SQL DATABASE PROGRAMMER,COMPUTER SPECIALIST (SOFTWARE),01,Technology
DEPARTMENT OF BUSINESS SERV.,SQL DATABASE PROGRAMMER,COMPUTER SPECIALIST (SOFTWARE),01,Technology
DEPARTMENT OF FINANCE,Senior Developer,COMPUTER SYSTEMS MANAGER,M1,Microsoft Platfrom Apps
DEPT OF ENVIRONMENT PROTECTION,INSTRUMENTATION SPECIALIST III,INSTRUMENTATION SPECIALIST,03,Croton Filtration Plant
DEPARTMENT OF CORRECTION,Desktop Support Manager Supervisor,COMPUTER OPERATIONS MANAGER (S,M1,Information Systems-Admin
DEPARTMENT OF CORRECTION,Desktop Support Manager Supervisor,COMPUTER OPERATIONS MANAGER (S,M1,Information Systems-Admin
DEPT OF ENVIRONMENT PROTECTION,Supervisor of Mechanics (Mechanical Equipment),SUPERVISOR OF MECHANICS(MECHAN,01,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,Supervisor of Mechanics (Mechanical Equipment),SUPERVISOR OF MECHANICS(MECHAN,01,Truck Main Maintenance
DEPARTMENT OF FINANCE,Datastage ETL Developer,COMPUTER SYSTEMS MANAGER,M2,Res-Pass Team
DEPARTMENT OF FINANCE,Datastage ETL Developer,COMPUTER SYSTEMS MANAGER,M2,Res-Pass Team
HRA/DEPT OF SOCIAL SERVICES,SOCIAL SERVICES REPRESENTATIVE,SUPERVISOR I (WELFARE),00,Employment/Contract Svcs-NM
DEPARTMENT OF BUILDINGS,Junior Business Analyst,ADM MANAGER-NON-MGRL FRM M1/M2,00,Strategic Planning & Implement
DEPT OF ENVIRONMENT PROTECTION,Assistant Records Management Officer,PUBLIC RECORDS OFFICER,00,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Assistant Records Management Officer,PUBLIC RECORDS OFFICER,00,Dept of Environment Protection
NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,00,Technical Service Department
NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,00,Technical Service Department
DEPT OF ENVIRONMENT PROTECTION,Deputy Chief of Construction Engineering,ADMINISTRATIVE ENGINEER,M1,Sewer Emergency
DEPT OF ENVIRONMENT PROTECTION,"Chief, Maintenance and Repairs",ADMINISTRATIVE ENGINEER,M2,Water Supply/Field Oper Mgt
DEPT OF ENVIRONMENT PROTECTION,"Chief, Maintenance and Repairs",ADMINISTRATIVE ENGINEER,M2,Water Supply/Field Oper Mgt
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGER,CASEWORKER,00,Hasa Hiv/Aids Svcs Admin-NM
DEPT OF PARKS & RECREATION,Parks Enforcement Patrol,URBAN PARK RANGER,00,Deputy Comm of Operations
DEPT OF INFO TECH & TELECOMM,"Assistant Commissioner, Telecommunications Planning and Resiliency",ADMINISTRATIVE STAFF ANALYST (,M4,General Counsel
DEPT OF INFO TECH & TELECOMM,"Assistant Commissioner, Telecommunications Planning and Resiliency",ADMINISTRATIVE STAFF ANALYST (,M4,General Counsel
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPT OF PARKS & RECREATION,Parks Enforcement Patrol,URBAN PARK RANGER,00,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Parks Enforcement Patrol,URBAN PARK RANGER,00,Deputy Comm of Operations
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGER,CASEWORKER,00,Hasa Hiv/Aids Svcs Admin-NM
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGER,CASEWORKER,00,Hasa Hiv/Aids Svcs Admin-NM
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - CDDR009,BUDGET ANALYST (OMB),01,Community Development
DEPARTMENT OF BUILDINGS,Junior Business Analyst,ADM MANAGER-NON-MGRL FRM M1/M2,00,Strategic Planning & Implement
ADMIN FOR CHILDREN'S SVCS,DYFJ Special Advisor,ADMINISTRATIVE DIRECTOR OF SOC,M1,DYFJ Central
ADMIN FOR CHILDREN'S SVCS,DYFJ Special Advisor,ADMINISTRATIVE DIRECTOR OF SOC,M1,DYFJ Central
LAW DEPARTMENT,Associate Application Specialist,COMPUTER ASSOC (SOFTWARE),02,M.I.S.
LAW DEPARTMENT,Associate Application Specialist,COMPUTER ASSOC (SOFTWARE),02,M.I.S.
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - CDDR009,BUDGET ANALYST (OMB),01,Community Development
FINANCIAL INFO SVCS AGENCY,STAFF ANALYST,STAFF ANALYST,02,Facilities Operations
FINANCIAL INFO SVCS AGENCY,STAFF ANALYST,STAFF ANALYST,02,Facilities Operations
CONSUMER AFFAIRS,Compliance Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
CONSUMER AFFAIRS,Compliance Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
FIRE DEPARTMENT,Engineering Technician,ENGINEERING TECHNICIAN,03,Communication Elect Bklyn
FIRE DEPARTMENT,Engineering Technician,ENGINEERING TECHNICIAN,03,Communication Elect Bklyn
LAW DEPARTMENT,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),02,M.I.S. (PART-TIME)
LAW DEPARTMENT,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),02,M.I.S. (PART-TIME)
CONSUMER AFFAIRS,Hearing Support Associate,COMMUNITY ASSOCIATE,00,Adjudication
CONSUMER AFFAIRS,Hearing Support Associate,COMMUNITY ASSOCIATE,00,Adjudication
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst-Energy,CITY RESEARCH SCIENTIST,01,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst-Energy,CITY RESEARCH SCIENTIST,01,Dept of Environment Protection
DEPARTMENT OF BUILDINGS,Chief Code Engineer,ADMINISTRATIVE ENGINEER,M2,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Chief Code Engineer,ADMINISTRATIVE ENGINEER,M2,Ad Exc Tech Affairs & Code Dev
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Officer,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Officer,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
DEPT OF INFO TECH & TELECOMM,ECTP Financial Manager,ADMINISTRATIVE STAFF ANALYST (,00,ECTP
DEPT OF INFO TECH & TELECOMM,ECTP Financial Manager,ADMINISTRATIVE STAFF ANALYST (,00,ECTP
DEPARTMENT OF BUILDINGS,Chief Code Architect,ADMINISTRATIVE ARCHITECT,M2,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Chief Code Architect,ADMINISTRATIVE ARCHITECT,M2,Ad Exc Tech Affairs & Code Dev
DEPT OF ENVIRONMENT PROTECTION,Seasonal City Park Worker,CITY PARK WORKER,00,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Seasonal City Park Worker,CITY PARK WORKER,00,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Quality Program Manager,ADMINISTRATIVE PROJECT MANAGER,M1,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Quality Program Manager,ADMINISTRATIVE PROJECT MANAGER,M1,Croton Filtration Plant
DEPT OF HEALTH/MENTAL HYGIENE,Senior .NET Developer,CERT IT DEVELOPER (APP),02,HIV/AIDS Epidem & Field Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,Senior .NET Developer,CERT IT DEVELOPER (APP),02,HIV/AIDS Epidem & Field Srvcs
CONSUMER AFFAIRS,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),03,Computer Services
CONSUMER AFFAIRS,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),03,Computer Services
DEPARTMENT OF BUILDINGS,Senior Project Manager,ADMINISTRATIVE MANAGER,M3,Strategic Planning & Implement
DEPT OF ENVIRONMENT PROTECTION,Plumber,PLUMBER,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Plumber,PLUMBER,00,Central Brookly City Operation
DEPT OF HEALTH/MENTAL HYGIENE,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,00,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,00,SH Nursing Services & Prof Dev
DEPARTMENT OF BUILDINGS,Senior Project Manager,ADMINISTRATIVE MANAGER,M3,Strategic Planning & Implement
TAX COMMISSION,AGENCY LEGAL INTERNE,AGENCY ATTORNEY INTERNE,00,Civ Serv & Prov Employees
TAX COMMISSION,AGENCY LEGAL INTERNE,AGENCY ATTORNEY INTERNE,00,Civ Serv & Prov Employees
TAX COMMISSION,ADMINISTRATIVE LAW JUDGE,AGENCY ATTORNEY,04,Civ Serv & Prov Employees
TAX COMMISSION,ADMINISTRATIVE LAW JUDGE,AGENCY ATTORNEY,04,Civ Serv & Prov Employees
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse,PUBLIC HEALTH NURSE (SCHOOL HE,01,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse,PUBLIC HEALTH NURSE (SCHOOL HE,01,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Prevention Outreach Specialist,PUBLIC HEALTH ADVISER,02,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,Prevention Outreach Specialist,PUBLIC HEALTH ADVISER,02,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,Senior Software Engineer/DBA,COMPUTER SPECIALIST (SOFTWARE),01,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Senior Software Engineer/DBA,COMPUTER SPECIALIST (SOFTWARE),01,OCME-Operations
DEPT OF ENVIRONMENT PROTECTION,MACHINIST'S HELPER,MACHINIST'S HELPER,00,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,MACHINIST'S HELPER,MACHINIST'S HELPER,00,Truck Main Maintenance
DEPT OF ENVIRONMENT PROTECTION,Water Resource Associate,CITY RESEARCH SCIENTIST,01,Landfill Remediation
CONSUMER AFFAIRS,Production Support Engineer,COMPUTER SPECIALIST (SOFTWARE),04,Computer Services
CONSUMER AFFAIRS,Production Support Engineer,COMPUTER SPECIALIST (SOFTWARE),04,Computer Services
HRA/DEPT OF SOCIAL SERVICES,"ASSISTANT DEPUTY COMMISSIONER, EMPLOYER PARTNERSHIPS",ASSISTANT DEPUTY COMMISSIONER,M3,Employment/Contract Svcs-Mgr
